,opinion,opinion_tri,opinion_bin,opinion_abs,babysitter,cdmx,constant,edad,edad_sq,hijos,hijos_bin,hijos_prim,hijos_prim_o_secu,hijos_secu,hijos_x_babysitter,hijos_x_prim_o_secu,imss,internet,mujer,pcs,publica,ratio_imss_resid,ratio_imss_trab,ratio_pcs_hijos,ratio_pcs_resid,ratio_trab_resid,ratio_tvs_resid,residentes,trabajadores,transporte,tvs,vacunado,vulnerable,wfh
112,3.0,2.0,1.0,1.0,0.0,Iztapalapa,1,32.0,1024.0,2.0,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.25,0.5,0.0,0.0,0.5,0.25,4.0,2.0,0.0,1.0,1.0,1.0,0.0
113,3.0,2.0,1.0,1.0,0.0,Coyoacán,1,48.0,2304.0,3.0,1,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,1.0,1.0,4.0,3.0,0.75,0.25,0.25,4.0,1.0,0.0,1.0,1.0,0.0,0.0
114,4.0,2.0,1.0,1.0,0.0,Benito Juárez,1,28.0,784.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.5,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0
115,4.0,2.0,1.0,1.0,1.0,Iztapalapa,1,49.0,2401.0,5.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.14285714285714285,0.5,0.0,0.0,0.2857142857142857,0.14285714285714285,7.0,2.0,0.0,1.0,1.0,0.0,1.0
116,3.0,2.0,1.0,1.0,0.0,Iztapalapa,1,45.0,2025.0,2.0,1,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,0.5,1.0,3.0,0.75,0.5,1.0,4.0,2.0,0.0,4.0,1.0,1.0,0.0
118,1.0,0.0,0.0,0.0,1.0,Coyoacán,1,70.0,4900.0,3.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
119,1.0,0.0,0.0,0.0,1.0,Iztapalapa,1,42.0,1764.0,4.0,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,5.0,1.0,0.0,1.0,1.0,0.0,1.0
120,2.0,1.0,0.0,,0.0,Iztapalapa,1,19.0,361.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,1.0,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,9.0,1.0,0.0,2.0,1.0,1.0,1.0
121,2.0,1.0,0.0,,0.0,Iztapalapa,1,26.0,676.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
124,0.0,0.0,0.0,0.0,1.0,Gustavo A. Madero,1,53.0,2809.0,2.0,1,0.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,5.0,1.0,1.0,4.0,5.0,1.25,0.25,0.5,4.0,1.0,1.0,2.0,1.0,0.0,1.0
127,3.0,2.0,1.0,1.0,0.0,Álvaro Obregón,1,30.0,900.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.5,0.5,2.0,1.0,0.0,1.0,1.0,0.0,1.0
128,0.0,0.0,0.0,0.0,0.0,Coyoacán,1,29.0,841.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.0,0.0,0.0
129,3.0,2.0,1.0,1.0,1.0,Cuajimalpa,1,39.0,1521.0,1.0,1,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,0.5,0.5,0.75,4.0,2.0,1.0,3.0,1.0,0.0,1.0
130,3.0,2.0,1.0,1.0,0.0,Azcapotzalco,1,70.0,4900.0,3.0,1,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,0.6666666666666666,1.0,4.0,1.3333333333333333,0.6666666666666666,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0
131,3.0,2.0,1.0,1.0,1.0,Coyoacán,1,71.0,5041.0,2.0,1,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0
132,3.0,2.0,1.0,1.0,0.0,Xochimilco,1,20.0,400.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,8.0,0.0,0.6666666666666666,1.0,0.0,2.6666666666666665,0.6666666666666666,1.3333333333333333,3.0,2.0,0.0,4.0,1.0,1.0,1.0
135,2.0,1.0,0.0,,0.0,Cuajimalpa,1,25.0,625.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,6.0,0.0,0.8,1.0,0.0,1.2,0.8,1.2,5.0,4.0,1.0,6.0,0.0,0.0,1.0
136,4.0,2.0,1.0,1.0,0.0,Miguel Hidalgo,1,30.0,900.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.5,1.0,1.5,2.0,2.0,1.0,3.0,1.0,0.0,0.0
137,3.0,2.0,1.0,1.0,0.0,Tlalpan,1,70.0,4900.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
138,3.0,2.0,1.0,1.0,1.0,Iztapalapa,1,26.0,676.0,2.0,1,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,0.25,0.5,3.0,0.375,0.5,0.5,8.0,4.0,0.0,4.0,1.0,1.0,1.0
139,2.0,1.0,0.0,,0.0,Coyoacán,1,42.0,1764.0,2.0,1,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.75,1.5,1.0,0.25,0.5,0.5,4.0,2.0,0.0,2.0,1.0,0.0,0.0
141,1.0,0.0,0.0,0.0,1.0,Xochimilco,1,30.0,900.0,2.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.14285714285714285,0.25,3.0,0.42857142857142855,0.5714285714285714,0.42857142857142855,7.0,4.0,0.0,3.0,1.0,0.0,1.0
142,3.0,2.0,1.0,1.0,0.0,Coyoacán,1,28.0,784.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.5,0.5,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,1.0,0.0,0.0
144,3.0,2.0,1.0,1.0,0.0,Cuajimalpa,1,27.0,729.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
146,1.0,0.0,0.0,0.0,0.0,Iztapalapa,1,69.0,4761.0,3.0,1,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.6666666666666666,3.0,3.0,1.0,2.0,1.0,1.0,1.0
147,3.0,2.0,1.0,1.0,0.0,Iztapalapa,1,22.0,484.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,3.0,2.0,0.0,2.0,1.0,0.0,1.0
148,3.0,2.0,1.0,1.0,0.0,Iztapalapa,1,22.0,484.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,0.5,1.5,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,6.0,2.0,0.0,1.0,1.0,1.0,1.0
150,3.0,2.0,1.0,1.0,0.0,Iztapalapa,1,23.0,529.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.14285714285714285,0.16666666666666666,0.0,0.42857142857142855,0.8571428571428571,0.8571428571428571,7.0,6.0,0.0,6.0,1.0,1.0,0.0
153,4.0,2.0,1.0,1.0,1.0,Xochimilco,1,52.0,2704.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.25,1.0,3.0,0.75,0.25,0.75,4.0,1.0,1.0,3.0,1.0,1.0,1.0
156,3.0,2.0,1.0,1.0,0.0,Benito Juárez,1,32.0,1024.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,2.0,2.0,0.0,1.0,1.0,0.0,1.0
157,3.0,2.0,1.0,1.0,1.0,Iztapalapa,1,39.0,1521.0,2.0,1,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,0.4,1.0,3.0,0.6,0.4,0.4,5.0,2.0,1.0,2.0,0.0,0.0,1.0
159,1.0,0.0,0.0,0.0,0.0,Miguel Hidalgo,1,34.0,1156.0,1.0,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,0.3333333333333333,0.5,4.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,3.0,2.0,0.0,1.0,1.0,1.0,1.0
160,0.0,0.0,0.0,0.0,0.0,Gustavo A. Madero,1,32.0,1024.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,1.0,0.8,1.0,0.0,0.6,0.8,0.6,5.0,4.0,0.0,3.0,1.0,1.0,1.0
161,3.0,2.0,1.0,1.0,1.0,Gustavo A. Madero,1,50.0,2500.0,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,0.5,1.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0
162,0.0,0.0,0.0,0.0,0.0,Miguel Hidalgo,1,28.0,784.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.3333333333333333,0.5,0.0,1.0,0.6666666666666666,0.3333333333333333,3.0,2.0,0.0,1.0,1.0,1.0,1.0
163,3.0,2.0,1.0,1.0,0.0,Cuahutémoc,1,24.0,576.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,1.0,0.5,0.6666666666666666,0.0,1.0,0.75,0.5,4.0,3.0,0.0,2.0,1.0,1.0,1.0
164,3.0,2.0,1.0,1.0,1.0,Miguel Hidalgo,1,49.0,2401.0,3.0,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,7.0,1.4,0.4,0.6,5.0,2.0,0.0,3.0,1.0,0.0,1.0
165,2.0,1.0,0.0,,0.0,Cuahutémoc,1,24.0,576.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,1.3333333333333333,1.0,0.6666666666666666,3.0,3.0,0.0,2.0,1.0,0.0,1.0
166,3.0,2.0,1.0,1.0,0.0,Benito Juárez,1,40.0,1600.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.5,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0
168,0.0,0.0,0.0,0.0,0.0,Iztacalco,1,31.0,961.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.5,1.0,0.5,2.0,2.0,0.0,1.0,1.0,0.0,1.0
169,0.0,0.0,0.0,0.0,1.0,Iztapalapa,1,46.0,2116.0,2.0,1,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,1.5,3.0,1.0,0.6666666666666666,1.0,3.0,2.0,1.0,3.0,1.0,0.0,1.0
171,2.0,1.0,0.0,,0.0,Iztapalapa,1,20.0,400.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.75,0.75,0.0,0.5,1.0,0.75,4.0,4.0,0.0,3.0,1.0,0.0,1.0
173,1.0,0.0,0.0,0.0,1.0,Iztapalapa,1,41.0,1681.0,2.0,1,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,0.5,1.0,4.0,1.0,0.5,1.25,4.0,2.0,1.0,5.0,1.0,1.0,1.0
174,2.0,1.0,0.0,,0.0,Iztapalapa,1,25.0,625.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,3.0,1.0,0.0,1.0
175,4.0,2.0,1.0,1.0,0.0,Iztapalapa,1,19.0,361.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,3.0,1.0,0.0,1.0,1.0,1.0,1.0
176,2.0,1.0,0.0,,0.0,Cuahutémoc,1,41.0,1681.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,0.5,1.5,2.0,1.0,0.0,3.0,1.0,0.0,1.0
177,2.0,1.0,0.0,,0.0,Miguel Hidalgo,1,32.0,1024.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,0.0,1.0,1.0,0.5,2.0,2.0,0.0,1.0,1.0,0.0,1.0
179,2.0,1.0,0.0,,0.0,Iztapalapa,1,30.0,900.0,1.0,1,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,0.3333333333333333,0.5,3.0,0.5,0.6666666666666666,0.6666666666666666,6.0,4.0,1.0,4.0,1.0,1.0,0.0
180,3.0,2.0,1.0,1.0,0.0,Benito Juárez,1,32.0,1024.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.5,0.5,0.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
182,1.0,0.0,0.0,0.0,0.0,Iztapalapa,1,46.0,2116.0,2.0,1,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,0.8,1.3333333333333333,2.0,0.4,0.6,0.6,5.0,3.0,0.0,3.0,1.0,1.0,1.0
183,3.0,2.0,1.0,1.0,1.0,Iztapalapa,1,38.0,1444.0,1.0,1,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,0.3333333333333333,0.6666666666666666,3.0,0.5,0.5,0.8333333333333334,6.0,3.0,1.0,5.0,1.0,1.0,1.0
185,1.0,0.0,0.0,0.0,1.0,Venustiano Carranza,1,44.0,1936.0,1.0,1,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.6666666666666666,1.0,2.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,3.0,2.0,0.0,1.0,1.0,0.0,0.0
186,3.0,2.0,1.0,1.0,0.0,Azcapotzalco,1,48.0,2304.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.3333333333333333,0.5,0.0,1.0,0.6666666666666666,1.0,3.0,2.0,1.0,3.0,1.0,1.0,0.0
187,3.0,2.0,1.0,1.0,1.0,Xochimilco,1,34.0,1156.0,2.0,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,0.0,0.5,1.0,4.0,1.0,0.5,0.75,4.0,2.0,1.0,3.0,1.0,0.0,1.0
188,2.0,1.0,0.0,,0.0,Benito Juárez,1,36.0,1296.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
189,1.0,0.0,0.0,0.0,0.0,Iztacalco,1,33.0,1089.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,1.3333333333333333,1.0,0.5,6.0,6.0,1.0,3.0,1.0,1.0,1.0
190,3.0,2.0,1.0,1.0,0.0,Iztapalapa,1,48.0,2304.0,3.0,1,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.4,0.6666666666666666,1.0,0.2,0.6,0.6,5.0,3.0,0.0,3.0,1.0,0.0,0.0
191,1.0,0.0,0.0,0.0,0.0,Iztapalapa,1,19.0,361.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,1.0,3.0,3.0,0.0,3.0,1.0,1.0,1.0
192,0.0,0.0,0.0,0.0,0.0,Iztapalapa,1,47.0,2209.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0
193,2.0,1.0,0.0,,0.0,Iztapalapa,1,34.0,1156.0,3.0,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.2,0.5,0.0,0.0,0.4,0.4,5.0,2.0,0.0,2.0,1.0,0.0,1.0
196,1.0,0.0,0.0,0.0,0.0,Iztapalapa,1,21.0,441.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,3.0,1.0,1.0,1.0,1.0,1.0,1.0
197,2.0,1.0,0.0,,0.0,Iztapalapa,1,46.0,2116.0,2.0,1,0.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.25,0.25,0.5,4.0,1.0,0.0,2.0,1.0,1.0,1.0
198,4.0,2.0,1.0,1.0,1.0,Iztapalapa,1,41.0,1681.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.5,0.75,0.5,4.0,3.0,0.0,2.0,1.0,1.0,1.0
199,3.0,2.0,1.0,1.0,0.0,Iztapalapa,1,43.0,1849.0,2.0,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,1.0,2.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3.0,1.0,0.0,2.0,1.0,0.0,1.0
200,2.0,1.0,0.0,,0.0,Cuahutémoc,1,29.0,841.0,1.0,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.3333333333333333,0.5,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,2.0,0.0,2.0,1.0,1.0,1.0
202,1.0,0.0,0.0,0.0,0.0,Coyoacán,1,24.0,576.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,1.5,0.0,1.0,0.6666666666666666,0.6666666666666666,3.0,2.0,1.0,2.0,1.0,0.0,1.0
203,1.0,0.0,0.0,0.0,1.0,Coyoacán,1,62.0,3844.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,0.5,1.5,2.0,1.0,1.0,3.0,1.0,1.0,1.0
206,1.0,0.0,0.0,0.0,0.0,Gustavo A. Madero,1,41.0,1681.0,2.0,1,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,5.0,1.0,0.5,1.0,5.0,1.25,0.5,0.25,4.0,2.0,1.0,1.0,1.0,0.0,1.0
207,3.0,2.0,1.0,1.0,0.0,Iztapalapa,1,47.0,2209.0,2.0,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,2.0,1.0,2.0,1.0,1.0,0.0
208,3.0,2.0,1.0,1.0,0.0,Iztapalapa,1,43.0,1849.0,2.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.6666666666666666,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0
209,1.0,0.0,0.0,0.0,0.0,Iztapalapa,1,59.0,3481.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,3.0,3.0,0.0,1.0,1.0,1.0,1.0
210,4.0,2.0,1.0,1.0,1.0,Benito Juárez,1,70.0,4900.0,4.0,1,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,5.0,1.0,0.75,1.0,5.0,1.25,0.75,0.5,4.0,3.0,1.0,2.0,1.0,0.0,1.0
211,3.0,2.0,1.0,1.0,0.0,Benito Juárez,1,30.0,900.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.2,0.5,0.0,0.4,0.4,0.2,5.0,2.0,0.0,1.0,1.0,1.0,0.0
213,3.0,2.0,1.0,1.0,1.0,Iztacalco,1,44.0,1936.0,2.0,1,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,0.8,1.3333333333333333,4.0,0.8,0.6,0.4,5.0,3.0,1.0,2.0,1.0,1.0,1.0
214,3.0,2.0,1.0,1.0,0.0,Coyoacán,1,61.0,3721.0,1.0,1,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,0.5,1.5,2.0,1.0,1.0,3.0,1.0,1.0,1.0
215,3.0,2.0,1.0,1.0,1.0,Xochimilco,1,32.0,1024.0,1.0,1,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0,0.6666666666666666,1.0,3.0,1.0,0.6666666666666666,1.3333333333333333,3.0,2.0,1.0,4.0,1.0,0.0,1.0
216,1.0,0.0,0.0,0.0,0.0,Benito Juárez,1,34.0,1156.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.5,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
217,2.0,1.0,0.0,,1.0,Gustavo A. Madero,1,48.0,2304.0,2.0,1,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,4.0,1.0,0.375,0.75,4.0,0.5,0.5,0.375,8.0,4.0,0.0,3.0,1.0,1.0,0.0
218,4.0,2.0,1.0,1.0,0.0,Benito Juárez,1,33.0,1089.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,1.0,0.0,1.0
219,2.0,1.0,0.0,,0.0,Xochimilco,1,22.0,484.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.25,0.5,0.0,0.5,0.5,0.75,4.0,2.0,0.0,3.0,1.0,0.0,1.0
220,1.0,0.0,0.0,0.0,0.0,Benito Juárez,1,25.0,625.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.5,1.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0
221,3.0,2.0,1.0,1.0,0.0,Iztapalapa,1,29.0,841.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.25,0.5,0.0,0.25,0.5,0.25,8.0,4.0,0.0,2.0,1.0,0.0,0.0
222,3.0,2.0,1.0,1.0,0.0,Miguel Hidalgo,1,31.0,961.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
223,3.0,2.0,1.0,1.0,0.0,Iztacalco,1,41.0,1681.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,1.0,1.0,2.0,0.0,2.5,0.5,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0
224,1.0,0.0,0.0,0.0,0.0,Benito Juárez,1,29.0,841.0,1.0,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.5,1.0,3.0,1.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.0,1.0
225,3.0,2.0,1.0,1.0,1.0,Azcapotzalco,1,41.0,1681.0,1.0,1,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,0.6666666666666666,1.0,3.0,1.0,0.6666666666666666,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0
226,1.0,0.0,0.0,0.0,0.0,Benito Juárez,1,48.0,2304.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,1.0,2.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3.0,1.0,1.0,2.0,1.0,1.0,1.0
227,2.0,1.0,0.0,,0.0,Iztacalco,1,25.0,625.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,3.0,2.0,0.0,1.0,1.0,1.0,1.0
228,2.0,1.0,0.0,,0.0,Benito Juárez,1,25.0,625.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.1,0.16666666666666666,0.0,0.1,0.6,0.2,10.0,6.0,0.0,2.0,1.0,1.0,0.0
